date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:23:52	356/356	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Jun%202024%2012:53:52%20GMT	https://howtoputafishhookonyourhat.wordpress.com/robots.txt		(from )
18:23:52	108741/108741	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2012:53:52%20GMT	https://howtoputafishhookonyourhat.wordpress.com/	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/howtoputafishhookonyourhat.wordpress.com/index.html	(from )
18:23:52	247/247	---M--	200	added ('OK')	text/css	etag:W/506-1684465025849.1528	https://s1.wp.com/wp-content/mu-plugins/wpcom-theme-compat/blockbase.css?m=1633680961i&cssminify=yes	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/s1.wp.com/wp-content/mu-plugins/wpcom-theme-compat/blockbase216b.css	(from https://howtoputafishhookonyourhat.wordpress.com/)
18:23:53	1618/1618	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2001%20Jun%202024%2012:53:52%20GMT	https://howtoputafishhookonyourhat.wordpress.com/feed/	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/howtoputafishhookonyourhat.wordpress.com/feed/index.html	(from https://howtoputafishhookonyourhat.wordpress.com/)
18:23:53	920/920	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22f1583d48467ce163a25da3461fd3e39c%22	https://howtoputafishhookonyourhat.wordpress.com/comments/feed/	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/howtoputafishhookonyourhat.wordpress.com/comments/feed/index.html	(from https://howtoputafishhookonyourhat.wordpress.com/)
18:23:53	16469/16469	---MCZ	200	added ('OK')	text/css	etag:W/16484-1716578174478.029	https://s2.wp.com/wp-content/plugins/gutenberg-core/v18.4.1/build/block-library/blocks/navigation/style.css?m=1716578158i&cssminify=yes	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/s2.wp.com/wp-content/plugins/gutenberg-core/v18.4.1/build/block-library/blocks/navigation/style7204.css	(from https://howtoputafishhookonyourhat.wordpress.com/)
18:23:53	369/369	---M--	200	added ('OK')	text/css	etag:%226466d548-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/s1.wp.com/_static/indexd02a.html	(from https://howtoputafishhookonyourhat.wordpress.com/)
18:23:53	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684461197956.71	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://howtoputafishhookonyourhat.wordpress.com/)
18:23:54	955/955	---MCZ	200	added ('OK')	text/xml	date:Sat,%2001%20Jun%202024%2012:53:54%20GMT	https://howtoputafishhookonyourhat.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/howtoputafishhookonyourhat.wordpress.com/xmlrpc0db0.php	(from https://howtoputafishhookonyourhat.wordpress.com/)
18:23:54	6211/6211	---M--	200	added ('OK')	image/png	etag:%2266278e2f-1843%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/Fish-Hook-On-Your-Hat/s2.wp.com/i/webclip.png	(from https://howtoputafishhookonyourhat.wordpress.com/)
